,company_name,company_type,company_subtype
56,Trumar Universal Ltd.,B2BC,Contractor
57,Sapphire Business Corporation,B2BC,Dealer
58,"Hampton Consulting Business, Inc.",B2BC,Referral Services
59,TROCADERO INVESTMENTS LTD.,B2BC,Residential/Commercial
60,SAGC PIMENTON LIMITED,B2BC,Dealer
61,EEB ENERGY Re Ltd.,B2BC,Electrical Contractor
62,FNC Global Pods Holding Ltd.,B2B,Wholesale  Dealer
63,FSR Global Coffee Pods Ltd.,B2BC,Food
64,"Moises & Associates International Corporation, Ltd.",B2B,Wholesale  Dealer
65,"Union Geothermal Guatemala, Limited",B2BC,Contractor
66,"UNOCAL GEOTHERMAL INTERNATIONAL, LTD.",B2BC,Contractor
67,"Unocal Global Ventures II, Ltd.",B2BC,Residential/Commercial
68,"UNOCAL LATIN AMERICA VENTURES, LTD.",B2B,Wholesale  Dealer
69,"Unocal Geothermal Ventures, Ltd.",B2BC,Contractor
70,TALCOT A.V.V.,B2BC,Contractor
71,ELEGANCE FLOWER SHOP & DECORATION,B2BC,Dealer
72,DE NELCY FLOWER & DECORATION,B2BC,Dealer
73,TROPICAL FLOWERSHOP & DECORATIONS,B2BC,Dealer
74,IDEAS FLOWERSHOP & DECORATIONS,B2BC,Dealer
75,CARIBBEAN SUN EYES N.V.,B2BC,Dealer
76,VANISE HOLDING & PENSION INVESTMENTS N.V.,B2BC,Financial Services
77,ROBLON,B2BC,Contractor
78,ARANGO CONSTRUCTION & IMPORT,B2B,Wholesale  Dealer
79,SPARROW SOUVENIRS AND GIFT SHOP,B2BC,Dealer
80,DISTRIBUIDORA LA LUZ SOL VBA,B2C,Health and Beauty
81,NEW METAL THE PROFESSIONAL N.V.,B2BC,Dealer
82,PANEKA CORPORATION A.V.V.,B2BC,Dealer
83,NUESTRO COLOMBIA,B2BC,Dealer
84,ATTRACTION BEAUTY & SPA,B2C,Health and Beauty
85,AUGUSTO HAND TO HAND N.V.,B2BC,Dealer
86,NEW METAL THE PROFESIONAL,B2BC,Dealer
87,QCI (QUALITY COLOMBIA INTERNATIONAL) A.V.V.,B2BC,Referral Services
88,ALVINA CORPORATION,B2BC,Dealer
89,FASHION OVERSEAS LTD.,B2B,Wholesale  Dealer
90,CONNECTION DARTS LIMITED,B2BC,Dealer
91,CD IP LIMITED,B2BC,Electrical Contractor
92,UNOMANIA ENTERPRISES LTD,B2BC,Contractor
93,UNOMANIA HOLDING LIMITED,B2BC,Dealer
94,UNOMANIA ENTERPRISES 3 LIMITED,B2BC,Contractor
95,UNOMANIA ENTERPRISES 2 LIMITED,B2BC,Contractor
96,SAN GIUSTO INC.,B2BC,Dealer
97,Calleri Overseas Ltd.,B2BC,Referral Services
98,VELDIA LIMITED,B2BC,Contractor
99,MC2 Internacional SA,B2BC,Instruction
100,Hutton Assets Limited,B2BC,Residential/Commercial
101,WORSFORD ENTERPRISES INC.,B2BC,Contractor
102,"Servicios, Aplicaciones y Negocios de TI INC. (SANTIC)",PUB,Community Association
103,SNT Global Investments S.A.,B2BC,Financial Services
104,M.Y.G. CONTRACTOR,B2BC,Contractor
105,FUNDACION CENTRO FAMILIAR SABANA BASORA NOORD,PUB,Community Association
106,DGC CLEANING & SERVICE,B2B,Janitorial Services
107,ARTVIEW RESOURCES INTERNATIONAL S.A.,B2BC,Referral Services
108,"PENLAND INTERNATIONAL GROUP,  S. de R.L.",B2B,Wholesale  Dealer
109,IRIS PROJECT COMPANY S.A.,B2BC,Contractor
110,SIDUS GLOBAL SERVICES - SGS CORP.,B2BC,Referral Services
111,CARIVEN INVESTMENT LIMITED,B2BC,Residential/Commercial
112,MAS CONSTRUCCION GENERAL,B2BC,Entertainment Services
113,TAMY'S GROCERY & LIQUOR SHOP,B2C,Liquor Establishment
114,R.F. HOME CONSTRUCTION & CLEANER,B2BC,Contractor
115,IMPORTACIONES-EXPORTACIONES JJ,B2BC,Food
116,PESCADERIA & FRUTERIA SANTA CRUZ  N.V.,B2BC,Residential/Commercial
117,ODUBER CLEANING COMPANY,B2B,Janitorial Services
118,CARIBBEAN BEVERAGE & BOTTLING PROJECT,B2BC,Food
119,IMAGEN BEAUTY SALON,B2C,Health and Beauty
120,COBURG CONSTRUCTION & CONSULTING N.V.,B2BC,Contractor
121,HENGAR HOLDING N.V.,B2BC,Contractor
122,DECOYESOS ARUBA,B2BC,Food
123,ROSTROS Y FIGURAS,B2BC,Dealer
124,ROSTROS & FIGURAS,B2BC,Dealer
125,ROSTROS Y FIGURAS OBSESSION SPA,B2C,Health and Beauty
126,ROSTROS Y FIGURAS OBSESSION SPA,B2C,Health and Beauty
127,LEGUMBRERIA Y FRUTERIA R.H.,B2BC,Entertainment Services
128,COBURG INTERNATIONAL MANAGEMENT N.V.,B2BC,Financial Services
129,PENTAGRAMA SPEELSCHOOL,B2BC,Food
130,CHACA CHACA LAUNDROMAT,B2BC,Food
131,ANIMAL HEALTH VETERINARY HOSPITAL VBA - ANIMAL HEALTH VETERINARY HOSPITAL,B2C,Animal Services
132,"HENAOTER PROPERTIES, INC.",B2BC,Residential/Commercial
133,SPICY COMPANY INC,B2BC,Food
134,OCEAN VIEW MANAGEMENT LTD.,B2BC,Residential/Commercial
135,"SUN FISH RESORT, LTD.",B2BC,Food
136,BLAKEMORE INVESTMENTS S.A.,B2BC,Residential/Commercial
137,FAR VIEW COMMERCIAL INC.,B2BC,Residential/Commercial
138,ONTIC DEVELOPMENT S.A.,B2BC,Contractor
139,ROYDALE ASSETS S.A.,B2BC,Financial Services
140,WAYAN TRADING S.A.,B2BC,Food
141,RODAM GROUP LTD.,B2BC,Contractor
142,DAVY INVESTMENTS SERVICES S.A.,B2BC,Financial Services
143,DALEBRIDGE HOLDINGS S.A.,B2BC,Contractor
144,PROVER ENGINEERING INC.,B2BC,Contractor
145,HUNIDOS SOCIEDAD ANONIMA,PUB,Community Association
146,NEXT LEVEL BUSINESS LIMITED,B2BC,Computer Services
147,ACARI  INVEST HOLDINGS CORP.,B2BC,Residential/Commercial
148,DIMAS GROUP S.A.,B2BC,Contractor
149,AGEL PORTFOLIO LTD.,B2BC,Dealer
150,LAYFIELD BUSINESS INC.,B2BC,Contractor
151,ALWOOD MANAGEMENT INC.,B2BC,Residential/Commercial
152,SILVINAR TRADING OVERSEAS LTD.,B2B,Wholesale  Dealer
153,CLAREVARD COMPANY S.A.,B2BC,Dealer
154,COMPASS SITE INC.,B2BC,Contractor
155,AZRAEL CORPORATION,B2BC,Dealer
156,DIMAS GROUP S.A.,B2BC,Contractor
157,Latin Pacific Capital Limited,B2BC,Financial Services
158,Transfrut Express Limited,B2BC,Moving/Transfer Service
159,CARIBBEAN BURGER SNACKTRAILER,B2BC,Food
160,OXUN SALON & BOUTIQUE,B2C,Health and Beauty
161,SAMARY ACCESSORIES,B2BC,Dealer
162,EVERGREEN GARDENS,B2BC,Landscape Gardener
163,L.F.M. GARDENS AND SERVICES VBA,B2BC,Landscape Gardener
164,ALL IN SOUVENIRS,B2BC,Dealer
165,PENILLA SERVICE FRION,B2BC,Contractor
166,VARELA LOTTERY,B2BC,Dealer
167,VARELA LOTTERY,B2BC,Dealer
168,NELLY LOTTERY,B2BC,Dealer
169,NELLY LOTTERY,B2BC,Dealer
170,B-STOP,B2BC,Food
171,B-STOP,B2BC,Food
172,BASHAKA SERVICES & ENTERPRISES N.V. - BASHAKA ALL SERVICES,B2BC,Repair/ Service/Maintenance
173,ANTOJOS TAKE AWAY,B2BC,Food
174,JOE'S PIZZA,B2BC,Food
175,SANDRA TOURS,B2BC,Travel Agent
176,ALEGRES REAL ESTATE N.V.,B2BC,Real Estate Dealer
177,BECERRA CARS N.V.,B2BC,Auto
178,WEB PRO SOLUTIONS,B2BC,Computer Services
179,INITIA CONTRACTOR,B2BC,Contractor
180,MARMONT CONTRACTOR,B2BC,Contractor
181,123 CARGO TRANS,B2BC,Moving/Transfer Service
182,TROPIGROUP A.V.V.,B2BC,Dealer
183,ILC FOREIGN SALES CORPORATION,B2B,Wholesale  Dealer
184,OCCIDENTAL BANK (BARBADOS) LTD.,B2BC,Financial Services
185,BEST INTERNATIONAL TRADING COMPANY LTD.,B2B,Wholesale  Dealer
186,PEANUTS & PEANUTS HOLDINGS INC.,B2BC,Food
187,TROPICALIA HOLDINGS INTERNATIONAL LIMITED,B2B,Wholesale  Dealer
188,PROCTER & GAMBLE FSC (BARBADOS) INC,B2BC,Instruction
189,YELLOWSTONE FINANCE LTD,B2BC,Financial Services
190,BLACKSTONE HOLDINGS OVERSEAS INC.,B2B,Wholesale  Dealer
191,EQUITABLE ADVISORS LIMITED,B2BC,Financial Services
192,WOODLEN LIMITED,B2BC,Financial Services
193,HARMONY MINING LIMITED,B2B,Wholesale  Dealer
194,GLESPORT LIMITED,B2BC,Dealer
195,TRELCO INVESTMENTS LIMITED,B2BC,Residential/Commercial
196,TELUR MARKETING LLC,B2BC,Computer Services
197,DECKHALL CONSULTANTS LIMITED,B2BC,Contractor
198,AUTO-IMMUNO DIAGNOSTICS SERVICES (AIDS) A.V.V.,B2C,Health and Beauty
199,GRENLORE & CO. LTD.,B2BC,Dealer
200,PLACIDO BUSINESS S.A.,B2B,Wholesale  Dealer
201,"HYDRA INTERNATIONAL, INC.",B2B,Wholesale  Dealer
202,ECOLAND WORLDWIDE S.A.,B2B,Wholesale  Dealer
203,BINVALE HOLDINGS CORP.,B2BC,Residential/Commercial
204,HALSTEAD BUSINESS CORP.,B2BC,Residential/Commercial
205,LittleStar Corporation Inc.,B2BC,Residential/Commercial
206,DOUGAL ENTERPRISES INC.,B2BC,Residential/Commercial
207,Perseo Holding Inc.,B2BC,Residential/Commercial
208,VANDEN ASSET CORP.,B2BC,Financial Services
209,ROVANA TRADING SERVICES INC.,B2B,Wholesale  Dealer
210,DANILO INVESTMENTS INC.,B2BC,Residential/Commercial
211,DUNSANY INTERNATIONAL LIMITED,B2B,Wholesale  Dealer
212,ROWHILL INTERNATIONAL LIMITED,B2B,Wholesale  Dealer
213,SANDCASTLE PROPERTIES S.A.,B2BC,Residential/Commercial
214,GREEN WOODS BUSINESS S.A.,B2BC,Dealer
215,LINK TEK S.A.,B2BC,Computer Services
216,URPI PROPERTIES S.A.,B2BC,Contractor
217,DUNNINGTON CORP.,B2BC,Residential/Commercial
218,CILKA OVERSEAS CORP.,B2BC,Referral Services
219,COLE INTERNATIONAL INC.,B2B,Wholesale  Dealer
220,ROSEPORT TRADING CORP.,B2B,Wholesale  Dealer
221,INVERNA CORP.,B2BC,Dealer
222,ENSWORTH TRADING INC.,B2B,Wholesale  Dealer
223,MONTREAUX FINANCE CORP.,B2BC,Financial Services
224,TARBERT PROMOTION LTD.,B2BC,Entertainment Services
225,AVOCADO CAPITAL INC.,B2BC,Financial Services
226,DRAGONFLY INVESTMENTS ENTERPRISE LTD.,B2BC,Residential/Commercial
227,ANDROMEDA HOLDINGS GROUP S.A.,B2BC,Residential/Commercial
228,ONSHORE INTERNATIONAL CORP.,B2B,Wholesale  Dealer
229,KALLPA INVESTMENTS LTD.,B2BC,Residential/Commercial
230,GRACELAND ESTATES LIMITED,B2BC,Residential/Commercial
231,DALTON ADVISORS CORP.,B2BC,Financial Services
232,P/E FUNDS LTD.,B2BC,Financial Services
233,Australia-Japan Cable Limited,B2BC,Electrical Contractor
234,Australia-Japan Cable Holdings Limited,B2BC,Electrical Contractor
235,Australia-Japan Cable (Australia) Limited,B2BC,Electrical Contractor
236,Australia-Japan Cable (Japan) Limited,B2BC,Electrical Contractor
237,Australia-Japan Cable (Management) Limited,B2BC,Electrical Contractor
238,Australia-Japan Cable (Guam) Limited,B2BC,Electrical Contractor
239,Phillips Petroleum Company Venezuela Limited,B2B,Wholesale  Dealer
240,ARLUM-LINE,B2BC,Contractor
241,ARLUM-LINE,B2BC,Contractor
242,ARVILUM,B2BC,Dealer
243,ARUBA ON-LINE,B2BC,Food
244,ODESEE BEAUTY PARLOR,B2C,Health and Beauty
245,ROSSMY APARTMENT,B2BC,Residential/Commercial
246,LOS PAISAS CONSTRUCTION,B2BC,Contractor
247,MIDPACIFIC BANK N.V.,B2BC,Financial Services
248,C.B. CARIBBEAN BUNGALOWS N.V.,B2BC,Contractor
249,BAR RESTAURANT EL RINCON PERUANO,B2BC,Food
250,ALUMINIUM BRY-LUIG AND HARDWARE,B2BC,Dealer
251,ALUMINIUM BRY-LUIG AND HARDWARE,B2BC,Dealer
252,QUEENS LAUNDRY,B2BC,Dealer
253,ALUMINIUM BRY-LUIG AND HARDWARE N.V.,B2BC,Dealer
254,INTEGRATED SERVICES ARUBA (INSAR),B2BC,Contractor
255,DARAST ADMINISTRATION & SERVICES N.V.,B2B,Janitorial Services
256,CHENG KEE RESTAURANT N.V.,B2BC,Food
257,LOS RECUERDOS DE ELLA BAR RESTAURANT,B2BC,Food
258,CALL-I-NET,B2BC,Security Services
259,K.M.K. SERVICES & CONTRACTOR,B2BC,Contractor
260,ST.CHARLES HOLDING INC.,B2BC,Residential/Commercial
261,"BG SUMINISTROS, LTD.",B2BC,Contractor
262,PICA (BARBADOS) INC.,B2BC,Dealer
263,ELECTRADE INVESTMENT LTD.,B2BC,Contractor
264,Elion Asset Management Corp.,B2BC,Financial Services
265,PINPOINT EQUITIES INC.,B2BC,Computer Services
266,ELANTINE INVESTMENTS S.A.,B2BC,Residential/Commercial
267,"CORPORACIÓN COSTA AZUL, S.A.",B2BC,Entertainment Services
268,"SEYCHELLES INTERNATIONAL, S.A.",B2BC,Referral Services
269,KADUCEO LLP,B2BC,Financial Services
270,"LIFT-TECH APPLICATIONS LATIN AMERICA, S. A.",B2B,Wholesale  Dealer
271,"Sonnedix Solar, L.P.",B2BC,Contractor
272,SEA DELIGHT,B2BC,Food
273,SEA DELIGHT,B2BC,Food
274,CHACIN CONSTRUCTION,B2BC,Contractor
275,SEA DELIGHT & TRADING N.V.,B2BC,Food
276,4A GROUP TRADING N.V.,B2B,Wholesale  Dealer
277,DISDORCA CARIBBEAN N.V.,B2BC,Dealer
278,SANTA BARBARA TRADING,B2B,Wholesale  Dealer
279,FRUTERIA COLUBA,B2BC,Dealer
280,AURANAT S.A.,B2C,Personal Services
281,ARULOCK,B2BC,Dealer
282,SONALIS INVESTMENTS LIMITED,B2BC,Residential/Commercial
283,SONALIS INVESTMENTS LIMITED,B2BC,Residential/Commercial
284,SKIMY FLOWERS CORP.,B2BC,Dealer
285,GRAND EQUITIES S.A.,B2BC,Dealer
286,GAINFORD ENTERPRISES INC.,B2BC,Contractor
287,QUOVADIS INVESTMENTS CORP.,B2BC,Residential/Commercial
288,SUNROCK INTERNATIONAL CORP.,B2B,Wholesale  Dealer
289,KYOTO IMPERIAL LTD. S.A.,B2BC,Contractor
290,EMILIE BUSINESS CORP.,B2BC,Dealer
291,BURNSWICK CORP.,B2BC,Contractor
292,ORKWEY PORTFOLIO INC.,B2BC,Dealer
293,COMERCIAL PLASTIFICADORA LTD.,B2BC,Dealer
294,EDENHURST TRADE S.A.,B2BC,Dealer
295,STARFORTH RESOURCES INC.,B2BC,Financial Services
296,TOP POWER EXTERMINATOR,B2BC,Contractor
297,NOHELY'S SNACK V.O.F.,B2BC,Food
298,NEOCOAL CORPORATION A.V.V. (I.L.),B2BC,Contractor
299,TOP POWER EXTERMINATOR,B2BC,Contractor
300,TOP POWER EXTERMINATOR VBA,B2BC,Contractor
301,FERNMAN SERVICES,B2BC,Contractor
302,ALTAIR LIMITED,B2BC,Contractor
303,AUSTRA PROPERTIES S.A.,B2BC,Contractor
304,"GELENE INTERNATIONAL, LTD.",B2B,Wholesale  Dealer
305,GLOBAL MANAGEMENT CAPITAL INC.,B2BC,Financial Services
306,DRUM INTERNATIONAL INC.,B2BC,Dealer
307,JENSEN FINANCE PROPERTIES CORP.,B2BC,Residential/Commercial
308,NORENE INTERNATIONAL S.A.,B2B,Wholesale  Dealer
309,Comendador Investments Ltd,B2BC,Residential/Commercial
310,Cherish Valley Ltd.,B2BC,Residential/Commercial
311,SONANGOL SUEZMAX ELEVEN LIMITED,B2BC,Food
312,SONANGOL SUEZMAX TWELVE LIMITED,B2BC,Contractor
313,NEA ELPIS TRUST,B2BC,Residential/Commercial
314,YOGI'S (BARBADOS) INC.,B2BC,Dealer
315,YOGI'S INTERNATIONAL INC.,B2BC,Instruction
316,OPTIVALORES INVESTMENT COMPANY LTD.,B2BC,Residential/Commercial
317,KIEPPE OVERSEAS (BARBADOS) LIMITED,B2BC,Referral Services
318,DIAS HAVEN GROUP LIMITED,B2BC,Residential/Commercial
319,NAVALSEA MARINE COMPANY LIMITED,B2BC,Dealer
320,MUSIC MARITIME LIMITED,B2BC,Dealer
321,SONG MARITIME LIMITED,B2BC,Dealer
322,PHILHARMONIC MARITIME LIMITED,B2BC,Contractor
323,EFTIHIA CO LTD,B2BC,Dealer
324,MOHAWK SHIPPING CO. LIMITED,B2BC,Moving/Transfer Service
325,MYC INTERNATIONAL,B2B,Wholesale  Dealer
326,COLOSSEO SHIPPING LTD,B2BC,Moving/Transfer Service
327,HAPPY DAYS LTD,B2BC,Dealer
328,essDOCS Limited,B2BC,Referral Services
329,SVAMI LTD,B2BC,Contractor
330,NGOL DANDE LTD.,B2BC,Dealer
331,NGOL BENGO LTD,B2BC,Dealer
332,NGOL KWANZA LTD,B2BC,Dealer
333,NGOL CHILOANGO LTD,B2BC,Food
334,NGOL ZAIRE LTD.,B2BC,Dealer
335,SONANGOL SHIPPING NGOL LUENA LTD,B2BC,Moving/Transfer Service
336,SONANGOL SHIPPING NGOL CASSAI LTD,B2BC,Moving/Transfer Service
337,THE STOKE CHAIR INC.,B2BC,Dealer
338,ISLET INTERNATIONAL LTD.,B2B,Wholesale  Dealer
339,MEGAPROJECTS AND BUSINESS S.A.,B2B,Wholesale  Dealer
340,Exclusive Brands International Inc.,B2B,Wholesale  Dealer
341,CLEVER IDEAS MANAGEMENT LTD.,B2BC,Contractor
342,CALWICK FINANCIAL LIMITED,B2BC,Financial Services
343,LEGIO EXPORT LLC,B2B,Wholesale  Dealer
344,GRATITUDE HOLDINGS INC.,B2BC,Residential/Commercial
345,BLACK SWAN PROPERTIES LTD.,B2BC,Residential/Commercial
346,LORIMAR INTERNATIONAL S.A.,B2BC,Referral Services
347,CENTOR HOLDING GROUP LTD.,B2BC,Residential/Commercial
348,SUPLITEX S.A.,B2BC,Dealer
349,NANDAM EXIM LIMITED,B2BC,Contractor
350,WALKER INTERNATIONAL GROUP S.A.,B2B,Wholesale  Dealer
351,Gaimef Group Ltd.,B2BC,Contractor
352,Cuprum Resources Limited,B2B,Wholesale  Dealer
353,El Tejar Limited,B2BC,Food
354,RAHMANI CORPORATION A.V.V.,B2BC,Dealer
355,KOHNINVEST CORPORATION A.V.V.,B2BC,Financial Services
356,ALFRESCO ENTERPRISES N.V.,B2BC,Contractor
357,ALFRESCO REAL ESTATE N.V.,B2BC,Real Estate Dealer
358,FUNDACION MIRES (MINISTERIO INTERNACIONAL ROCIO DEL ESPIRITU SANTO),PUB,Community Association
359,COLOMBIA WELDING SHOP,B2BC,Contractor
360,ORO ARUBA ENTERPRISES AVV,B2B,Wholesale  Dealer
361,CHORTI ARUBA A.V.V. (I.L.),B2BC,Dealer
362,GLOBAL PHILAPELICS LIMITED A.V.V.,B2BC,Dealer
363,TAKE AWAY LIBERTAD,B2BC,Food
364,RUDY'S CORNER,B2BC,Food
365,TABOR CONSTRUCTION & CLEANING,B2BC,Contractor
366,TIWANUC N.V.,B2BC,Dealer
367,V.O.F. PROFESSIONAL SIGN & METALS,B2BC,Contractor
368,SEDUCTION N.V.,B2BC,Studio
369,ESSO STANDARD OIL S.A.,B2BC,Food
370,"B.C.O., INC.",B2BC,Dealer
371,IBERONEWS LIMITED,B2BC,Dealer
372,ENGM INTERNATIONAL LIMITED,B2B,Wholesale  Dealer
373,GLOBAL ENERGY & OIL DEVELOPMENT SOLUTIONS CORP.,B2B,Wholesale  Dealer
374,Maseju Limited,B2BC,Food
375,LUNADIX LIMITED,B2BC,Computer Services
376,NORCAL INVESTMENTS LIMITED,B2BC,Residential/Commercial
377,ADVANTA GLOBAL SERVICES LTD.,B2BC,Referral Services
378,BT PLEASURE YACHTING LIMITED,B2BC,Dealer
379,VHS CAPITAL LIMITED,B2BC,Financial Services
380,TATSALE INVESTMENTS LTD.,B2BC,Residential/Commercial
381,GENERAL CARIBE ELECTRIC CO. LTD.,B2BC,Electrical Contractor
382,LANDCROFT OVERSEAS S.A.,B2BC,Referral Services
383,Western Real Estate Inc.,B2BC,Real Estate Dealer
384,SOL ANTILLES AND GUIANAS LIMITED,B2BC,Dealer
385,KENMARK DEVELOPMENT INC.,B2BC,Contractor
386,"INTERNATIONAL COMMODITIES & FOOD TRADING , INC.",B2BC,Food
387,"LATINAMERICAN IMPORT & EXPORT COMMODITIES, CORP.",B2B,Wholesale  Dealer
388,MALWOOD TRADING INC.,B2B,Wholesale  Dealer
389,"PARTNER CO. ENERGY, S.A.",B2B,Wholesale  Dealer
390,QUIPUX LIMITED,B2BC,Computer Services
391,Nial Investment Group S.A.,B2BC,Financial Services
392,RENDOR COMPANY S.A.,B2B,Wholesale  Dealer
393,QUIPUX INTERNATIONAL LLC,B2B,Wholesale  Dealer
394,SLOAN INVESTMENTS LLP,B2BC,Financial Services
395,"Colombiana de Hilados, Ltd.",B2BC,Dealer
396,SPA UNI FOR YOU,B2C,Health and Beauty
397,UNI FOR YOU SPA,B2C,Health and Beauty
398,J.A.D. INNOVATIONS,B2BC,Contractor
399,LOS PAISITAS,B2BC,Food
400,LOS PAISITAS,B2BC,Food
401,FAST CONSTRUCTION,B2BC,Contractor
402,FAST CONSTRUCTION,B2BC,Contractor
403,STRONG CONSTRUCTION,B2BC,Contractor
404,ANGY PUBLICITY,B2BC,Studio
405,LAS PAISITAS APARTMENTS,B2BC,Residential/Commercial
406,STRONG CONSTRUCTION CARDONA,B2BC,Contractor
407,CAYENA ARUBA GARDENS & SERVICES,B2BC,Landscape Gardener
408,GANSAMINA,B2BC,Food
409,ROXINE,B2BC,Dealer
410,JARDIN PRIMAVERA,B2BC,Dealer
411,CRISSNA MINIMARKET,B2BC,Food
412,MATTY'S SOUVENIR & GIFT,B2BC,Dealer
413,AGENCY AZ CONSTRUCTION,B2BC,Contractor
414,ANDREA CONSTRUCTION EMPLOYMENT AGENCY V.O.F.,B2BC,Employment Agency
415,T.S. ESCALANTE HOLDING N.V.,B2BC,Food
416,ANDREA CONSTRUCTION EMPLOYMENT AGENCY N.V.,B2BC,Employment Agency
417,SAMACH CAFE AND ENTERTAINMENT,B2BC,Food
418,CROCKER LIMITED,B2BC,Contractor
419,LELAND LIMITED,B2BC,Contractor
420,KORFI LIMITED,B2BC,Dealer
421,TROODOS TRADING LTD.,B2B,Wholesale  Dealer
422,POLLARD (MALTA) LIMITED,B2BC,Dealer
423,TORELL BUSINESS S.A.,B2B,Wholesale  Dealer
424,Las Nieves Investments S.A.,B2BC,Residential/Commercial
425,VALSAN HOLDINGS LIMITED,B2BC,Residential/Commercial
426,"HEGAME PACHUCA, S.A.",B2BC,Dealer
427,TRUDENE COMMERCIAL S.A.,B2BC,Food
428,FORDBRIDGE EQUITIES LTD.,B2BC,Financial Services
429,SANDRAGON TRADING CORP.,B2B,Wholesale  Dealer
430,GLOBAL TUITION & EDUCATION INSURANCE CORPORATION,B2BC,Referral Services
431,JEAN PAUL ALTA PELUQUERIA INTERNATIONAL,B2BC,Instruction
432,MILLENNIUM TECHNOLOGIES A.V.V.,B2BC,Computer Services
433,NAILS EXPLOSION,B2C,Health and Beauty
434,GLOBAL TUITION & EDUCATION INSURANCE CORPORATION,B2BC,Referral Services
435,TRANSAM FAMILY INVESTMENTS LTD.,B2BC,Residential/Commercial
436,Halvale Investments Limited,B2BC,Residential/Commercial
437,MOONLIGHT MACRO INC.,B2BC,Dealer
438,GRAJA & CAORSI (MALTA) LTD,B2BC,Dealer
439,TRESTAR SERVICES S.A.,B2BC,Contractor
440,Moda America Corp.,B2B,Wholesale  Dealer
441,ARISTOS CONSULTORES DE GERENCIA INC.,B2BC,Referral Services
442,BLUE SKY & GREEN CORPORATION LIMITED,B2B,Wholesale  Dealer
443,JAMUC INVERSIONES INC.,B2BC,Computer Services
444,MARCORA COMPANY INC.,B2BC,Contractor
