"","address_original","lon","lat","type","loctype","address","north","south","east","west"
"11","STEFAN MICHAEL HOFMANN RAMISTRASSE 6, 8001 ZÚRICH  SWITZERLAND",8.5460893,47.3676961,"premise","rooftop","rämistrasse 6, 8001 zürich, switzerland",47.3690159302915,47.3663179697085,8.5474702302915,8.5447722697085
"12","ELISA LONDONO AVENIDA 9 NORTE; #12-55 CALI; COLOMBIA",-76.5354388,3.4579431,"street_address","rooftop","av. 9 nte. #12-55, granada, cali, valle del cauca, colombia",3.4592616802915,3.4565637197085,-76.5340454697085,-76.5367434302915
"13","MARIA CAROLINA RESTREPO CAÑAVERA CARRERA 11 NO. 94 – 47 OFICINA 702 BOGOTÁ – COLOMBIA BOGOTA COLOMBIA",-74.046192,4.6778505,"subpremise","rooftop","cra. 11 #94-47 oficina 702, localidad de chapinero, bogotá, colombia",4.6791697302915,4.6764717697085,-74.0447483197085,-74.0474462802915
"14","SENTIDO LEGAL DIRECCIÓN CRA. 43 A NO. 16 A SUR-38 OFICINA 602 EDIFICIO DHL MEDELLIN COLOMBIA",-75.5748188,6.1965999,"subpremise","rooftop","cra. 43a #16 oficina 602, el poblado, medellín, el poblado, medellín, antioquia, colombia",6.1979553802915,6.1952574197085,-75.5735008197085,-75.5761987802915
"15","Canon's Court; 22 Victoria Street; Hamilton; HM 12; Bermuda",-64.7836868,32.2948832,"street_address","rooftop","22 victoria st, hamilton, bermuda",32.2963417302915,32.2936437697085,-64.7823481197085,-64.7850460802915
"16","3rd Floor, Yamraj Building, Market Square, P.O. Box 3175 Road Town, Tortola British Virgin Islands",-64.6208096,18.4243873,"premise","rooftop","yamraj building, fishlock rd, road town, british virgin islands",18.4257291302915,18.4230311697085,-64.6194599197085,-64.6221578802915
"17","JOSE LUIS ABRIL CRUZ DIAGONAL 54 NO. 16-34 BOGOTA COLOMBIA",-74.0683654,4.6420363,"street_address","rooftop","dg. 54 #16-34, bogotá, colombia",4.6433391302915,4.6406411697085,-74.0670428197085,-74.0697407802915
"18","BRIGHT SIDE S.A. RUTA 8 KM. 17500 LOCAL 207  CP 91600  ZONAMÉRICA-MONTEVIDEO URUGUAY *S.I.*",-56.0704941,-34.7871123,"subpremise","rooftop","local 207, ruta 8 km 17500, 12200 canelones, departamento de canelones, uruguay",-34.7857595697085,-34.7884575302915,-56.0691337697085,-56.0718317302915
"19","DR. ALBERTO J.PAREDES PAREDES & ASOCIADOS TORRE SFC; PISO 21 CALLE 55; OBARRIO PANAMA; REPUBLIC OF PANAMA PANAMA PANAMA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","ARMANDO JAVIER ZABARAIN GONZALEZ VÍA 1 F  24-06 BARRANQUILLA COLOMBIA",-74.8069813,11.0041072,"locality","approximate","barranquilla, atlantico, colombia",11.0463319,10.921292,-74.7585391,-74.877496
"21","PAPILON 21, SANTA CRUZ",-122.0307963,36.9741171,"locality","approximate","santa cruz, ca, usa",37.0108422,36.9409339,-121.9862189,-122.1087411
"22","DE LA SALLESTRAAT 5, ORANJESTAD WEST",-70.0339025,12.5244914,"street_address","range_interpolated","de la sallestraat 5, oranjestad, aruba",12.5258403802915,12.5231424197085,-70.0325535197085,-70.0352514802915
"23","CUMANA 78, ORANJESTAD OOST",-70.0123903,12.5177344,"street_address","rooftop","cumana 78k, oranjestad, aruba",12.5190994802915,12.5164015197085,-70.0110387697085,-70.0137367302915
"24","CATIRI 10-A, NOORD",-70.03245,12.5765648,"locality","approximate","noord, aruba",12.6233364,12.5415087,-69.9931439,-70.0597715
"25","PONTON 88-B, ORANJESTAD WEST",-70.0309613,12.5368549,"neighborhood","approximate","ponton, oranjestad, aruba",12.5412842,12.5319633,-70.0264263,-70.0346232
"26","CANASHITO 15-A, SANTA CRUZ",-69.9922542,12.5093086,"neighborhood","approximate","canashito, aruba",12.5139487,12.5040401,-69.9852489,-69.9975443
"27","L.G. SMITH BLVD. 116, SUITE 11, NOORD",-70.0515107,12.6052798,"subpremise","range_interpolated","11, l. g. smith boulevard 116, noord, aruba",12.6066287802915,12.6039308197085,-70.0501617197085,-70.0528596802915
"28","BERNAL MEDINA LAVERDE CARRERA 13A NO. 89-38 OFICINA 613 NIPPON CENTER SANTAFE DE BOGOTÁ COLOMBIA",-74.0516887,4.6733636,"subpremise","rooftop","cra. 13a #n° 89-38 oficina 613, bogotá, colombia",4.6747396302915,4.6720416697085,-74.0503928697085,-74.0530908302915
"29","DANIEL ISAZA BONNET CRA 11 NO. 82-76 OF 903 BOGOTÁ, COLOMBIA",-74.0518047,4.6658837,"subpremise","rooftop","cra. 11 #82-76 of 903, localidad de chapinero, bogotá, colombia",4.6671675302915,4.6644695697085,-74.0503766197085,-74.0530745802915
"30","BAKER & MCKENZIE S.A.S AVE. 82 NO. 10-62, PISO 6 BOGOTA COLOMBIA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","YANET AVILA 1000 PONCE DE LEON BLVD.  SUITE 105 CORAL GABLES FL, 33134",-80.2593562,25.7616724,"subpremise","rooftop","1000 ponce de leon ste 105, coral gables, fl 33134, usa",25.7630248302915,25.7603268697085,-80.2578551697085,-80.2605531302915
"32","PAREJA & ASOCIADOS - ABOGADOS KENNEDY NORTE; AVE. MIGUEL H. ALCIVAR; MANZANA 506; TORRES DEL NORTE; TORRE A; PISO 8; OF. 810 GUAYAQUIL ECUADOR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","MP VAZQUEZ & ASOCIADOS ÁREA BANCARIA; TORRE ADVANCED 099 PISO 4; OFICINA B APARTADO POSTAL 0819 - 00468 PANAMA; REP. DE PANAMA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","ANGLO AUTOMOTRIZ S. A. ANAUTO PRESIDENTE LUÍS CORDERO Y SUFRAGIO LIBREGUAYAQUIL, ECUADORRUC: 0990201595001 TELÉFONO (593 4) 291119 GUAYAQUIL ECUADOR",-79.8890662,-2.1894128,"locality","approximate","guayaquil, ecuador",-2.0176044,-2.2873981,-79.8608182,-80.0993834
"35","WAYDEN INTERNATIONAL LTD. TORTOLA BRITISH VIRGIN ISLANDS S.I.",-64.6332782,18.4334704,"establishment","approximate","tortola, british virgin islands",18.459714,18.3824133,-64.5533172,-64.7173174
"36","TRUJILLO; FERRAN; CIGARRUISTA Y ASOCIADOS EDIFICIO PLAZA 2000 PISO 10; CALLE 50 PANAMA PANAMA",-79.5206041,8.9814156,"premise","rooftop","plaza 2000, c. 50, panamá, provincia de panamá, panama",8.9829152302915,8.9802172697085,-79.5193040197085,-79.5220019802915
"37","ROBERTO ILLINGWORTH CABANILLA AV. 9 DE OCTUBRE 100 Y MALECON  EDIF. LA PREVISORA OFICINA 2201 GUAYAQUIL-ECUADOR",-79.879777,-2.1920923,"subpremise","rooftop","oficina 2201, av. 9 de octubre 100y, guayaquil 090103, ecuador",-2.1908774697085,-2.1935754302915,-79.8784768197085,-79.8811747802915
"38","NATALIA MULFORD MULFORD ABOGADOS SORTIS BUSINESS TOWER; OFICINA 10 H CALLE 56 Y 57 ESTE; OBARRIO PANAMÁ REP. DE PANAMÁ",-79.5264751,8.9911967,"subpremise","range_interpolated","y 57, c. 56 oeste 10, panamá, provincia de panamá, panama",8.9925456802915,8.9898477197085,-79.5251261197085,-79.5278240802915
"39","MR. XAVIER ROMERO KM. 19.5 VÍA A LA COSTA (ENTRANDO POR REY-SAC) GUAYAQUIL ECUADOR",-80.0475315,-2.1922315,"establishment","geometric_center","kilometro 19 via a la costa, guayaquil 090902, ecuador",-2.1909526697085,-2.1936506302915,-80.0463073197085,-80.0490052802915
"40","Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",-64.6184657,18.4286115,"locality","approximate","road town, british virgin islands",18.4414259,18.4072247,-64.6008539,-64.6308516
"41","Companies Incorporated 28015 Smyth Drive Valencia CA 91355 USA RT BVI",-64.639968,18.420695,"country","approximate","british virgin islands",18.8916392,18.2106868,-64.1207465,-64.9565265
"42","Clifton House; 75 Fort Street; Grand Cayman KY1-1108; Cayman Islands",-81.3807012,19.2973428,"street_address","rooftop","75 fort st, george town, cayman islands",19.2986749802915,19.2959770197085,-81.3793106197085,-81.3820085802915
"43","Argyle House; 41a Cedar Avenue; Hamilton HM 12; Bermuda",-64.7839009,32.2945917,"street_address","rooftop","41 cedar ave, hamilton hm 12, bermuda",32.2959284302915,32.2932304697085,-64.7827196697085,-64.7854176302915
"44","L.G. SMITH BLVD. 162, ING FATUM, ORANJESTAD WEST",-70.0533701,12.5327894,"establishment","rooftop","guardian group building, lloyd g. smith blvd 162, oranjestad, aruba",12.5342070802915,12.5315091197085,-70.0520121197085,-70.0547100802915
"45","TANKI LEENDERT 158-F, NOORD",-70.0136231,12.5382082,"street_address","rooftop","tanki leendert 158f, oranjestad, aruba",12.5395610302915,12.5368630697085,-70.0123934197085,-70.0150913802915
"46","KAMERLINGH ONNESSTRAAT 30, ORANJESTAD WEST",-70.0310852,12.5263135,"street_address","range_interpolated","kamerlingh onnesstraat 30, oranjestad, aruba",12.5276624802915,12.5249645197085,-70.0297362197085,-70.0324341802915
"47","TANKI LEENDERT 241, LOK. 5, NOORD",-70.0185652,12.5410353,"subpremise","rooftop","tanki leendert 241, oranjestad, aruba",12.5422988302915,12.5396008697085,-70.0171247197085,-70.0198226802915
"48","MIDDENWEG 10, ORANJESTAD OOST",-70.0086306,12.5092044,"political","approximate","oranjestad-east, aruba",12.5427504,12.4837244,-69.9823093,-70.036254
"49","L.G. SMITH BLVD. 160, ORANJESTAD WEST",-70.0393018,12.51976,"street_address","range_interpolated","l.g. smith blvd 160, oranjestad, aruba",12.5210609302915,12.5183629697085,-70.0379880697085,-70.0406860302915
"50","CAYA PUNTA BRABO 13, ORANJESTAD WEST",-70.0577084,12.5408516,"street_address","rooftop","caya punta brabo 13, aruba",12.5422187302915,12.5395207697085,-70.0563200697085,-70.0590180302915
"51","WINDSTRAAT 19, ORANJESTAD OOST",-70.032029,12.5204589,"street_address","range_interpolated","windstraat 19, oranjestad, aruba",12.5217375302915,12.5190395697085,-70.0306883197085,-70.0333862802915
"52","BOTON 9, APT. #2, SANTA CRUZ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","L.G. SMITH BLVD. 94, ROYAL PLAZA MALL, ORANJESTAD WEST",-70.0396965,12.5202409,"establishment","rooftop","lloyd g. smith blvd 94, oranjestad, aruba",12.5214913302915,12.5187933697085,-70.0381201697085,-70.0408181302915
"54","TANKI LEENDERT 76-M, NOORD",-70.0198183,12.5379541,"subpremise","range_interpolated","m, tanki leendert 76, oranjestad, aruba",12.5393030802915,12.5366051197085,-70.0184693197085,-70.0211672802915
"55","SAVANETA 28, SAVANETA",-69.950597,12.4522568,"street_address","range_interpolated","savaneta 28, savaneta, aruba",12.4536057802915,12.4509078197085,-69.9492480197085,-69.9519459802915
"56","KRUISWEG 8, ORANJESTAD OOST",-70.0086306,12.5092044,"political","approximate","oranjestad-east, aruba",12.5427504,12.4837244,-69.9823093,-70.036254
"57","TANKI LEENDERT 247-B, NOORD",-70.0220291,12.5416273,"neighborhood","approximate","tanki lender, aruba",12.5459237,12.5344508,-70.0153489,-70.0260079
"58","TANKI LEENDERT 143, NOORD",-70.0145033,12.5379649,"street_address","range_interpolated","tanki leendert 143, oranjestad, aruba",12.5393138802915,12.5366159197085,-70.0131543197085,-70.0158522802915
"59","BELGIESTRAAT 36, ORANJESTAD WEST",-70.0427234,12.5309876,"street_address","rooftop","belgiestraat 36, oranjestad, aruba",12.5323929802915,12.5296950197085,-70.0414112197085,-70.0441091802915
"60","CIDEL PLACE, LOWER COLLYMORE ROCK, ST.MICHAEL BB11000, BARBADOS.",-59.6045188,13.0930014,"route","geometric_center","lower collymore rock rd, bridgetown, saint michael barbados",13.0943022802915,13.0916043197085,-59.6016453,-59.6073633
"61","590, ST JOSEPH HIGH ROAD, SANTA VENERA, MALTA",14.4915301,35.8859237,"street_address","range_interpolated","590 st joseph high st, hamrun, malta",35.8872726802915,35.8845747197085,14.4928790802915,14.4901811197085
"62","EDGEWATER FLAT 10, 3RD FLOOR, TRIQ ELIA ZAMMIT, ST. JULIANS, MALTA",14.4905868,35.9214241,"locality","approximate","st julian's, malta",35.9307818,35.9091573,14.4965123,14.4823743
"63","171 OLD BAKERY STREET, VALLETTA, MALTA",14.5123914,35.8991118,"premise","geometric_center","171 old bakery street, il-belt valletta, malta",35.9004572302915,35.8977592697085,14.5136768802915,14.5109789197085
"64","30, KENILWORTH,  SIR AUGUSTUS BARTOLO STREET, TA' XBIEX, MALTA",14.4949271,35.898976,"locality","approximate","ta' xbiex, malta",35.9018929,35.8972306,14.50058,14.4904391
"65","30, KENILWORTH, SIR AUSUTUS BATOLO STREET, TA' XBIEXXBX1903, MALTA",14.4949271,35.898976,"locality","approximate","ta' xbiex, malta",35.9018929,35.8972306,14.50058,14.4904391
"66","WORSFORD ENTERPRICES INC. CARRERA 16 NO. 93 A - 36 BOGOTA COLOMBIA",-74.0517914,4.6786433,"premise","rooftop","cra. 16 #93a-36, localidad de chapinero, bogotá, colombia",4.6799931302915,4.6772951697085,-74.0504529197085,-74.0531508802915
"67","DR. ANDRES MEDINA CARRERA 9 NO. 74-08 OF. 201 BOGOTA COLOMBIA",-74.0313695,4.7456623,"subpremise","rooftop","ak. 9 #166-74 of. 201, bogotá, colombia",4.7470142802915,4.7443163197085,-74.0301634197085,-74.0328613802915
"68","CUMANA 109, ORANJESTAD OOST",-70.0120411,12.5210352,"street_address","range_interpolated","cumana 109, oranjestad, aruba",12.5223841802915,12.5196862197085,-70.0106921197085,-70.0133900802915
"69","SABANA BASORA NOORD 117, SAVANETA",-69.9623537,12.4726571,"establishment","geometric_center","f2fq+336, savaneta, aruba",12.4739454302915,12.4712474697085,-69.9609835697085,-69.9636815302915
"70","SEROE PATRISHI 174, PARADERA",-70.0202431,12.5345482,"street_address","range_interpolated","sero patrishi 174, oranjestad, aruba",12.5358971802915,12.5331992197085,-70.0188941197085,-70.0215920802915
"71","BENJAMIN CUBIDES CARRERA 9 NO. 94ª – 27 BOGOTA COLOMBIA",-74.0429217,4.6876082,"street_address","rooftop","ak. 9 #94a32, bogotá, colombia",4.6890303802915,4.6863324197085,-74.0416136197085,-74.0443115802915
"72","CARLOS JAVIER ENMANUEL ORTIZ CALLE ITURRALDE Y AV. DE LA PRENSA ZONA DE CARGA DEL AEROPUERTO QUITO-ECUADOR",-78.4937086,-0.1351972,"route","geometric_center","av. de la prensa, quito, ecuador",-0.1006511,-0.1671383,-78.4865602,-78.4979248
"73","ALIVIOSTRAAT 22, ORANJESTAD WEST",-70.0385302,12.5323976,"route","geometric_center","aliviostraat, oranjestad, aruba",12.5337536802915,12.5310557197085,-70.0371953197085,-70.0398932802915
"74","PASTOOR HENDRIKSTRAAT 119, SAN NICOLAS ZUID",-69.9015341,12.4371503,"street_address","range_interpolated","pastoor hendrikstraat 119, san nicolas, aruba",12.4384992802915,12.4358013197085,-69.9001851197085,-69.9028830802915
"75","TANKI LEENDERT 54-H, NOORD",-70.0184562,12.5379912,"street_address","range_interpolated","tanki leendert 54, oranjestad, aruba",12.5393401802915,12.5366422197085,-70.0171072197085,-70.0198051802915
"76","MACUARIMA 5, SANTA CRUZ",-69.9755369,12.4990678,"street_address","range_interpolated","macuarima 5, oranjestad, aruba",12.5004167802915,12.4977188197085,-69.9741879197085,-69.9768858802915
"77","RUDOLFO ARENDSSTRAAT 43, ORANJESTAD WEST",-70.0369311,12.5282591,"street_address","range_interpolated","rudolf arendsstraat 43, oranjestad, aruba",12.5296080802915,12.5269101197085,-70.0355821197085,-70.0382800802915
"78","NUNE 67-A, PARADERA",-70.0069863,12.5395887,"subpremise","range_interpolated","a, nuñe 67, paradera, aruba",12.5409376802915,12.5382397197085,-70.0056373197085,-70.0083352802915
"79","OLIJFISTRAAT 23-E, ORANJESTAD OOST",-70.0086306,12.5092044,"political","approximate","oranjestad-east, aruba",12.5427504,12.4837244,-69.9823093,-70.036254
"80","MOKO 5-B, NOORD",-70.0108637,12.5510047,"neighborhood","approximate","moko, noord, aruba",12.5537572,12.5473271,-70.0050651,-70.018047
"81","BUSHIRI 35, ORANJESTAD WEST",-70.0464737,12.5384966,"street_address","range_interpolated","bushiri 35, aruba",12.5398455802915,12.5371476197085,-70.0451247197085,-70.0478226802915
"82","AVENIDA DON MILIO CROES 57-G, ORANJESTAD OOST",-70.0086306,12.5092044,"political","approximate","oranjestad-east, aruba",12.5427504,12.4837244,-69.9823093,-70.036254
"83","MAKAPRUIMSTRAAT 1, ORANJESTAD OOST",-70.0086306,12.5092044,"political","approximate","oranjestad-east, aruba",12.5427504,12.4837244,-69.9823093,-70.036254
"84","V/D VEEN ZEPPENFELDSTRAAT 50-B, SAN NICOLAS ZUID",-69.8776091,12.4227616,"locality","approximate","san nicolas, aruba",12.4444133,12.4111368,-69.864378,-69.9294375
"85","PARADERA 100-E, PARADERA",-70.0041644,12.5347904,"locality","approximate","paradera, aruba",12.5436484,12.5288842,-69.9975465,-70.0115562
"86","SABANA GRANDI 16-A, SANTA CRUZ",-63.1560853,-17.8145819,"locality","approximate","santa cruz de la sierra, bolivia",-17.4908405,-18.0244453,-62.7655793,-63.2576896
"87","MARACASTRAAT 8, ORANJESTAD OOST",-70.0129594,12.5148292,"route","geometric_center","maracastraat, oranjestad, aruba",12.5171109,12.5129023,-70.0117478197085,-70.0144457802915
"88","SEROE PATRISHI 59, PARADERA",-70.0188146,12.5338723,"street_address","range_interpolated","sero patrishi 59, oranjestad, aruba",12.5352212802915,12.5325233197085,-70.0174656197085,-70.0201635802915
"89","CUMANA 24 (AVENIDA E.J. (WATTY) VOS), ORANJESTAD OOST",-70.0086306,12.5092044,"political","approximate","oranjestad-east, aruba",12.5427504,12.4837244,-69.9823093,-70.036254
"90","IBC'S SERVICES INCORPORATED, ""CEDAR COURT"", WILDEY BUSINESS PARK, WILDEY, ST.MICHAEL, BARBADOS, BB 14006.",-59.5857399,13.0938708,"establishment","geometric_center","3cv7+gpr, u.s. embassy rd, bridgetown, saint michael barbados",13.0950861302915,13.0923881697085,-59.5845033697085,-59.5872013302915
"91","OCEAN VIEW MANAGEMENT LTD. AVENIDA LIBERTADOR EDIF. NUEVO CENTRO P.B. LOCAL K CHACAO, CARACAS VENEZUELA",-66.8565887,10.4938681,"political","approximate","chacao, caracas 1060, miranda, venezuela",10.4976703,10.4904122,-66.8521178,-66.8611945
"92","UBS MIAMI 701 BRICKELL AVE SUITE 3250 MIAMI, FLORIDA  33131 USA",-80.189694,25.766884,"subpremise","rooftop","701 brickell ave #3250, miami, fl 33131, usa",25.7683021302915,25.7656041697085,-80.1886980697085,-80.1913960302915
"93","MOSSACK FONSECA & CO. (PERU) CORP. SAFFREY SQUARE SUITE 205; BANK LANE P. O. BOX N-8188 NASSAU; BAHAMAS **S.I.**",NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","CRA 43A NO. 1 - 50; TORRE PROTECCION; OFICINA 852; MEDELLIN; COLOMBIA MEDELLIN COLOMBIA",-75.5710605,6.2043449,"subpremise","rooftop","cra. 43a #1-50 oficina 852, el poblado, medellín, el poblado, medellín, antioquia, colombia",6.2057020802915,6.2030041197085,-75.5697490197085,-75.5724469802915
"95","CYG INTEGRAL S.A.S CALLE 21 SUR NO 42 B 30 INT 1003 REFUGIOS DE LA FRONTERA MEDELLIN COLOMBIA",-75.578878,6.183599,"establishment","rooftop","cl. 21 sur #42b30, el poblado, medellín, el poblado, medellín, antioquia, colombia",6.1849729302915,6.1822749697085,-75.5775157197085,-75.5802136802915
"96","CARLOS ALBERTO CORREA MOLINA CALLE 3 SUR NO. 43 A 52 OFIC 1004  MEDELLIN - COLOMBIA",-75.5728002,6.2014165,"street_address","rooftop","cl. 3 sur #43a-52, el poblado, medellín, el poblado, medellín, antioquia, colombia",6.2025251302915,6.1998271697085,-75.5713914197085,-75.5740893802915
"97","MORGAN STANLEY 201 S. BISCAYNE BLVD. SUITE 2000 MIAMI, FL 33131",-80.186896,25.772025,"subpremise","rooftop","201 s biscayne blvd #2000, miami, fl 33132, usa",25.7734837802915,25.7707858197085,-80.1857006697085,-80.1883986302915
"98","PASCHE BANK & TRUST LIMITED P O BOX AP 59241 BAYSIDE EXECUTIVE PARK; BLAKE RD & WEST BAY STR NASSAU; BAHAMAS *S.I.*",NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","SR. LEO EISENBAND CRA 69 NO. 98-A-66 BOGOTA, COLOMBIA",-74.1266104,4.6329396,"subpremise","range_interpolated","cra 69 #9-8 a 66, bogotá, colombia",4.6343734302915,4.6316754697085,-74.1254821697085,-74.1281801302915
"100","KATZ & LOPEZ CALLE 50 Y AVENIDA AQUILINO DE LA GUARDIATORRE PLAZA BANCO GENERAL (ANTIGUA TORRE BANCO CONTINENTAL)PISO 15 PANAMA, REPUBLICA DE PANAMA*S.I.* PANAMA PANAMA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","IVAN DARIO CORREA MOLINA CALLE 3 SUR NO. 43 A 52 OFIC 1004  MEDELLIN - COLOMBIA",-75.5728002,6.2014165,"street_address","rooftop","cl. 3 sur #43a-52, el poblado, medellín, el poblado, medellín, antioquia, colombia",6.2025251302915,6.1998271697085,-75.5713914197085,-75.5740893802915
"102","TANKI FLIP 82, NOORD",-70.030338,12.5466087,"street_address","rooftop","tanki flip 82, noord, aruba",12.5479918802915,12.5452939197085,-70.0290019697085,-70.0316999302915
"103","BELGIESTRAAT 26, UNIT #1, ORANJESTAD WEST",-70.0428591,12.5307637,"subpremise","rooftop","1, belgiestraat 26, oranjestad, aruba",12.5321836802915,12.5294857197085,-70.0415455697085,-70.0442435302915
"104","J.E. IRAUSQUIN BLVD. 382, NOORD",-70.0442199,12.5735044,"premise","rooftop","j.e. irausquin blvd 382, noord, aruba",12.5748714302915,12.5721734697085,-70.0428590697085,-70.0455570302915
"105","REAUMURSTRAAT 15, ORANJESTAD WEST",-70.0327022,12.526365,"route","geometric_center","reaumurstraat, oranjestad, aruba",12.5275671802915,12.5248692197085,-70.0313801697085,-70.0340781302915
"106","WILHELMINASTRAAT 7-A, ORANJESTAD OOST",-70.0357682,12.5188419,"subpremise","range_interpolated","a, wilhelminastraat 7, oranjestad, aruba",12.5201908802915,12.5174929197085,-70.0344192197085,-70.0371171802915
"107","ZEEWIJK 64, SAN NICOLAS ZUID",-69.8776091,12.4227616,"locality","approximate","san nicolas, aruba",12.4444133,12.4111368,-69.864378,-69.9294375
"108","HAVENSTRAAT 16, ORANJESTAD OOST",-70.0086306,12.5092044,"political","approximate","oranjestad-east, aruba",12.5427504,12.4837244,-69.9823093,-70.036254
"109","SCHOOLSTRAAT 1, ORANJESTAD OOST",-70.0086306,12.5092044,"political","approximate","oranjestad-east, aruba",12.5427504,12.4837244,-69.9823093,-70.036254
"110","WILHELMINASTRAAT 3, LOK 2, ORANJESTAD OOST",-70.0086306,12.5092044,"political","approximate","oranjestad-east, aruba",12.5427504,12.4837244,-69.9823093,-70.036254
"111","WILHELMINASTRAAT 3, LOK. #3, ORANJESTAD OOST",-70.0086306,12.5092044,"political","approximate","oranjestad-east, aruba",12.5427504,12.4837244,-69.9823093,-70.036254
"112","WILHELMINASTRAAT 3, LOK 4, ORANJESTAD OOST",-70.0086306,12.5092044,"political","approximate","oranjestad-east, aruba",12.5427504,12.4837244,-69.9823093,-70.036254
"113","SAVANETA 19, SAVANETA",-69.950597,12.4522568,"street_address","range_interpolated","savaneta 19, savaneta, aruba",12.4536057802915,12.4509078197085,-69.9492480197085,-69.9519459802915
"114","ALTO VISTA 14, NOORD",-70.0152938,12.5681366,"street_address","range_interpolated","alto vista 14, noord, aruba",12.5694855802915,12.5667876197085,-70.0139448197085,-70.0166427802915
"115","PALM BEACH 33, NOORD",-70.0410332,12.5671347,"premise","rooftop","palm beach 33, noord, aruba",12.5685212302915,12.5658232697085,-70.0396232697085,-70.0423212302915
"116","PALM BEACH 504, NOORD",-70.0399167,12.5754982,"premise","rooftop","palm beach 504, noord, aruba",12.5768642802915,12.5741663197085,-70.0385461197085,-70.0412440802915
"117","BUBALI 71-F, NOORD",-70.0458481,12.5516536,"neighborhood","approximate","bubali, noord, aruba",12.5541445,12.5485732,-70.0406099,-70.0520468
"118","MATADERA 8-C, NOORD",-70.0279967,12.5497144,"subpremise","range_interpolated","c, matadera 8, noord, aruba",12.5510633802915,12.5483654197085,-70.0266477197085,-70.0293456802915
"119","PAPAYA 2-M, PARADERA",-70.0041644,12.5347904,"locality","approximate","paradera, aruba",12.5436484,12.5288842,-69.9975465,-70.0115562
